date,gas
2001-01-01,0.0
2001-01-02,0.0
2001-01-03,0.0
2001-01-04,0.0
2001-01-05,0.0
2001-01-06,97.215819999999994
2001-01-07,0.0
2001-01-08,0.0
2001-01-09,0.0
2001-01-10,0.0
2001-01-11,0.0
2001-01-12,0.0
2001-01-13,0.0
2001-01-14,0.0
2001-01-15,0.0
2001-01-16,0.0
2001-01-17,0.0
2001-01-18,2.3000000000000001E-4
2001-01-19,0.0
2001-01-20,0.0
2001-01-21,0.0
2001-01-22,0.0
2001-01-23,0.0
2001-01-24,0.0
2001-01-25,0.0
2001-01-26,0.0
2001-01-27,0.0
2001-01-28,0.0
2001-01-29,0.0
2001-01-30,0.0
2001-01-31,0.0
2001-02-01,0.0
2001-02-02,0.0
2001-02-03,0.0
2001-02-04,0.0
2001-02-05,0.0
2001-02-06,0.0
2001-02-07,0.0
2001-02-08,0.0
2001-02-09,0.0
2001-02-10,0.0
2001-02-11,0.0
2001-02-12,0.0
2001-02-13,0.0
2001-02-14,0.0
2001-02-15,0.0
2001-02-16,0.0
2001-02-17,0.0
2001-02-18,0.0
2001-02-19,0.0
2001-02-20,0.0
2001-02-21,0.0
2001-02-22,0.0
2001-02-23,0.0
2001-02-24,0.0
2001-02-25,0.0
2001-02-26,0.0
2001-02-27,0.0
2001-02-28,0.0
2001-03-01,0.0
2001-03-02,0.0
2001-03-03,0.0
2001-03-04,0.0
2001-03-05,0.0
2001-03-06,0.0
2001-03-07,0.0
2001-03-08,0.0
2001-03-09,0.0
2001-03-10,0.0
2001-03-11,0.0
2001-03-12,0.0
2001-03-13,0.0
2001-03-14,0.0
2001-03-15,0.0
2001-03-16,0.0
2001-03-17,0.0
2001-03-18,0.0
2001-03-19,0.0
2001-03-20,0.0
2001-03-21,0.0
2001-03-22,0.0
2001-03-23,0.0
2001-03-24,0.0
2001-03-25,0.0
2001-03-26,0.0
2001-03-27,0.0
2001-03-28,0.0
2001-03-29,0.0
2001-03-30,0.0
2001-03-31,0.0
2001-04-01,0.0
2001-04-02,0.0
2001-04-03,0.0
2001-04-04,0.0
2001-04-05,0.0
2001-04-06,0.0
2001-04-07,0.0
2001-04-08,0.0
2001-04-09,0.0
2001-04-10,0.0
2001-04-11,0.0
2001-04-12,0.0
2001-04-13,0.0
2001-04-14,0.0
2001-04-15,0.0
2001-04-16,0.0
2001-04-17,0.0
2001-04-18,0.0
2001-04-19,0.0
2001-04-20,18.0
2001-04-21,53.0
2001-04-22,54.0
2001-04-23,24.0
2001-04-24,2.0
2001-04-25,2.0
2001-04-26,25.0
2001-04-27,39.0
2001-04-28,27.0
2001-04-29,23.0
2001-04-30,23.0
2001-05-01,23.0
2001-05-02,21.0
2001-05-03,16.0
2001-05-04,16.0
2001-05-05,19.0
2001-05-06,18.0
2001-05-07,17.0
2001-05-08,17.0
2001-05-09,21.0
2001-05-10,21.0
2001-05-11,21.0
2001-05-12,21.0
2001-05-13,21.0
2001-05-14,21.0
2001-05-15,21.0
2001-05-16,18.0
2001-05-17,20.0
2001-05-18,18.0
2001-05-19,19.0
2001-05-20,19.0
2001-05-21,11.0
2001-05-22,16.0
2001-05-23,18.0
2001-05-24,17.0
2001-05-25,17.0
2001-05-26,19.0
2001-05-27,20.0
2001-05-28,20.0
2001-05-29,21.0
2001-05-30,19.0
2001-05-31,20.0
2001-06-01,21.0
2001-06-02,20.0
2001-06-03,19.0
2001-06-04,0.0
2001-06-05,4.0
2001-06-06,9.0
2001-06-07,11.0
2001-06-08,55.0
2001-06-09,10.0
2001-06-10,11.0
2001-06-11,18.0
2001-06-12,21.0
2001-06-13,27.0
2001-06-14,0.0
2001-06-15,50.0
2001-06-16,63.0
2001-06-17,0.0
2001-06-18,126.0
2001-06-19,88.0
2001-06-20,0.0
2001-06-21,36.0
2001-06-22,45.0
2001-06-23,102.0
2001-06-24,104.0
2001-06-25,78.0
2001-06-26,76.0
2001-06-27,47.0
2001-06-28,104.0
2001-06-29,75.0
2001-06-30,106.0
2001-07-01,103.0
2001-07-02,76.0
2001-07-03,60.0
2001-07-04,49.0
2001-07-05,37.0
2001-07-06,49.0
2001-07-07,42.0
2001-07-08,55.0
2001-07-09,54.0
2001-07-10,50.0
2001-07-11,37.0
2001-07-12,0.0
2001-07-13,0.0
2001-07-14,0.0
2001-07-15,48.0
2001-07-16,28.0
2001-07-17,29.0
2001-07-18,32.0
2001-07-19,62.0
2001-07-20,187.0
2001-07-21,375.0
2001-07-22,251.0
2001-07-23,460.0
2001-07-24,492.0
2001-07-25,387.0
2001-07-26,486.0
2001-07-27,546.0
2001-07-28,630.0
2001-07-29,751.0
2001-07-30,673.0
2001-07-31,490.0
2001-08-01,1118.0
2001-08-02,949.0
2001-08-03,927.0
2001-08-04,881.0
2001-08-05,857.0
2001-08-06,1164.0
2001-08-07,926.0
2001-08-08,960.0
2001-08-09,997.0
2001-08-10,882.0
2001-08-11,839.0
2001-08-12,1098.0
2001-08-13,1375.0
2001-08-14,1001.0
2001-08-15,963.0
2001-08-16,667.0
2001-08-17,1066.0
2001-08-18,1064.0
2001-08-19,975.0
2001-08-20,1245.0
2001-08-21,1858.0
2001-08-22,1505.0
2001-08-23,2094.0
2001-08-24,1320.0
2001-08-25,1252.0
2001-08-26,1200.0
2001-08-27,1270.0
2001-08-28,1188.0
2001-08-29,1422.0
2001-08-30,1666.0
2001-08-31,1565.0
2001-09-01,1842.0
2001-09-02,1851.0
2001-09-03,1859.0
2001-09-04,1417.0
2001-09-05,1659.0
2001-09-06,1789.0
2001-09-07,1815.0
2001-09-08,1807.0
2001-09-09,1789.0
2001-09-10,1773.0
2001-09-11,289.0
2001-09-12,119.0
2001-09-13,37.0
2001-09-14,1509.0
2001-09-15,1246.0
2001-09-16,1207.0
2001-09-17,1065.0
2001-09-18,1128.0
2001-09-19,1339.0
2001-09-20,1481.0
2001-09-21,1609.0
2001-09-22,1695.0
2001-09-23,1720.0
2001-09-24,1702.0
2001-09-25,1646.0
2001-09-26,1569.0
2001-09-27,1571.0
2001-09-28,1554.0
2001-09-29,1525.0
2001-09-30,1511.0
2001-10-01,1528.0
2001-10-02,1558.0
2001-10-03,1570.0
2001-10-04,1427.0
2001-10-05,1293.0
2001-10-06,1254.0
2001-10-07,1605.0
2001-10-08,1429.0
2001-10-09,1505.0
2001-10-10,1682.0
2001-10-11,1953.0
2001-10-12,1951.0
2001-10-13,1992.0
2001-10-14,1978.0
2001-10-15,1967.0
2001-10-16,1934.0
2001-10-17,1925.0
2001-10-18,1883.0
2001-10-19,1860.0
2001-10-20,1801.0
2001-10-21,1781.0
2001-10-22,1948.0
2001-10-23,1971.0
2001-10-24,1911.0
2001-10-25,1896.0
2001-10-26,2144.0
2001-10-27,2235.0
2001-10-28,2234.0
2001-10-29,2198.0
2001-10-30,2184.0
2001-10-31,1893.0
2001-11-01,2110.0
2001-11-02,2073.0
2001-11-03,2145.0
2001-11-04,2225.0
2001-11-05,2052.0
2001-11-06,2094.0
2001-11-07,2123.0
2001-11-08,2107.0
2001-11-09,2122.0
2001-11-10,2185.0
2001-11-11,2217.0
2001-11-12,2150.0
2001-11-13,1480.0
2001-11-14,1820.0
2001-11-15,1896.0
2001-11-16,1863.0
2001-11-17,1878.0
2001-11-18,1981.0
2001-11-19,2033.0
2001-11-20,2122.0
2001-11-21,2203.0
2001-11-22,2262.0
2001-11-23,2165.0
2001-11-24,1859.0
2001-11-25,1829.0
2001-11-26,1802.0
2001-11-27,1647.0
2001-11-28,1744.0
2001-11-29,2015.0
2001-11-30,1772.0
2001-12-01,1916.0
2001-12-02,1676.0
2001-12-03,1931.0
2001-12-04,2083.0
2001-12-05,2183.0
2001-12-06,2405.0
2001-12-07,1550.0
2001-12-08,2087.0
2001-12-09,2027.0
2001-12-10,2320.0
2001-12-11,2329.0
2001-12-12,2633.0
2001-12-13,2695.0
2001-12-14,2470.0
2001-12-15,2442.0
2001-12-16,2623.0
2001-12-17,2540.0
2001-12-18,2576.0
2001-12-19,2534.0
2001-12-20,1726.0
2001-12-21,2453.0
2001-12-22,2623.0
2001-12-23,2597.0
2001-12-24,2444.0
2001-12-25,2469.0
2001-12-26,2406.0
2001-12-27,2489.0
2001-12-28,2437.0
2001-12-29,2429.0
2001-12-30,2309.0
2001-12-31,1997.0
2002-01-01,2179.0
2002-01-02,2111.0
2002-01-03,2068.0
2002-01-04,2128.0
2002-01-05,2081.0
2002-01-06,2147.0
2002-01-07,2173.0
2002-01-08,2246.0
2002-01-09,2342.0
2002-01-10,2326.0
2002-01-11,2332.0
2002-01-12,2294.0
2002-01-13,2348.0
2002-01-14,2256.0
2002-01-15,2335.0
2002-01-16,2286.0
2002-01-17,2330.0
2002-01-18,2556.0
2002-01-19,2594.0
2002-01-20,2534.0
2002-01-21,2423.0
2002-01-22,2382.0
2002-01-23,2375.0
2002-01-24,2371.0
2002-01-25,2350.0
2002-01-26,2332.0
2002-01-27,2311.0
2002-01-28,2305.0
2002-01-29,2351.0
2002-01-30,2353.0
2002-01-31,2515.0
2002-02-01,2435.0
2002-02-02,2430.0
2002-02-03,2400.0
2002-02-04,2253.0
2002-02-05,2208.0
2002-02-06,2188.0
2002-02-07,2163.0
2002-02-08,2086.0
2002-02-09,2111.0
2002-02-10,2301.0
2002-02-11,2431.0
2002-02-12,2491.0
2002-02-13,2596.0
2002-02-14,2670.0
2002-02-15,2749.0
2002-02-16,2801.0
2002-02-17,2965.0
2002-02-18,3365.0
2002-02-19,3566.0
2002-02-20,3583.0
2002-02-21,3509.0
2002-02-22,3630.0
2002-02-23,3771.0
2002-02-24,3787.0
2002-02-25,3718.0
2002-02-26,3651.0
2002-02-27,3667.0
2002-02-28,3514.0
2002-03-01,3631.0
2002-03-02,3667.0
2002-03-03,3533.0
2002-03-04,3645.0
2002-03-05,3359.0
2002-03-06,3719.0
2002-03-07,3786.0
2002-03-08,3584.0
2002-03-09,3627.0
2002-03-10,4132.0
2002-03-11,4173.0
2002-03-12,3823.0
2002-03-13,3448.0
2002-03-14,3494.0
2002-03-15,4403.0
2002-03-16,4586.0
2002-03-17,4379.0
2002-03-18,4154.0
2002-03-19,4390.0
2002-03-20,4869.0
2002-03-21,4502.0
2002-03-22,4664.0
2002-03-23,4614.0
2002-03-24,4817.0
2002-03-25,4695.0
2002-03-26,4742.0
2002-03-27,5038.0
2002-03-28,5885.0
2002-03-29,5228.0
2002-03-30,5203.0
2002-03-31,5046.0
2002-04-01,5181.0
2002-04-02,5087.0
2002-04-03,5085.0
2002-04-04,4958.0
2002-04-05,4869.0
2002-04-06,4795.0
2002-04-07,4797.0
2002-04-08,4920.0
2002-04-09,5098.0
2002-04-10,5337.0
2002-04-11,5290.0
2002-04-12,5219.0
2002-04-13,5208.0
2002-04-14,4852.0
2002-04-15,4681.0
2002-04-16,4436.0
2002-04-17,5104.0
2002-04-18,5890.0
2002-04-19,5769.0
2002-04-20,6338.0
2002-04-21,6471.0
2002-04-22,6332.0
2002-04-23,6942.0
2002-04-24,7629.0
2002-04-25,7942.0
2002-04-26,8105.0
2002-04-27,8215.0
2002-04-28,7977.0
2002-04-29,8611.0
2002-04-30,9948.0
2002-05-01,9229.0
2002-05-02,9068.0
2002-05-03,8815.0
2002-05-04,8667.0
2002-05-05,8515.0
2002-05-06,8481.0
2002-05-07,8556.0
2002-05-08,8710.0
2002-05-09,9773.0
2002-05-10,9510.0
2002-05-11,9145.0
2002-05-12,9163.0
2002-05-13,8939.0
2002-05-14,8766.0
2002-05-15,9211.0
2002-05-16,9974.0
2002-05-17,10026.0
2002-05-18,10148.0
2002-05-19,10105.0
2002-05-20,10075.0
2002-05-21,10093.0
2002-05-22,10307.0
2002-05-23,10181.0
2002-05-24,10182.0
2002-05-25,10010.0
2002-05-26,9916.0
2002-05-27,9798.0
2002-05-28,9502.0
2002-05-29,9956.0
2002-05-30,9999.0
2002-05-31,8683.0
2002-06-01,10051.0
2002-06-02,9889.0
2002-06-03,9824.0
2002-06-04,9952.0
2002-06-05,9953.0
2002-06-06,9645.0
2002-06-07,9288.0
2002-06-08,7559.0
2002-06-09,9067.0
2002-06-10,9821.0
2002-06-11,10296.0
2002-06-12,10231.0
2002-06-13,10277.0
2002-06-14,10558.0
2002-06-15,10651.0
2002-06-16,10837.0
2002-06-17,10981.0
2002-06-18,11089.0
2002-06-19,10767.0
2002-06-20,10051.0
2002-06-21,10382.0
2002-06-22,10810.0
2002-06-23,10784.0
2002-06-24,10195.0
2002-06-25,10733.0
2002-06-26,10927.0
2002-06-27,10819.0
2002-06-28,10163.0
2002-06-29,10371.0
2002-06-30,9122.0
2002-07-01,10145.0
2002-07-02,9561.0
2002-07-03,10268.0
2002-07-04,10632.0
2002-07-05,11032.0
2002-07-06,10769.0
2002-07-07,10444.0
2002-07-08,10003.0
2002-07-09,10040.0
2002-07-10,10297.0
2002-07-11,10403.0
2002-07-12,10485.0
2002-07-13,10270.0
2002-07-14,10240.0
2002-07-15,9056.0
2002-07-16,5858.0
2002-07-17,4977.0
2002-07-18,8467.0
2002-07-19,10022.0
2002-07-20,10450.0
2002-07-21,10240.0
2002-07-22,9736.0
2002-07-23,9626.0
2002-07-24,9656.0
2002-07-25,10001.0
2002-07-26,10157.0
2002-07-27,10191.0
2002-07-28,10469.0
2002-07-29,10593.0
2002-07-30,10683.0
2002-07-31,9239.0
2002-08-01,10549.0
2002-08-02,10682.0
2002-08-03,10657.0
2002-08-04,10702.0
2002-08-05,10708.0
2002-08-06,10699.0
2002-08-07,10550.0
2002-08-08,10649.0
2002-08-09,10766.0
2002-08-10,10803.0
2002-08-11,11022.0
2002-08-12,10999.0
2002-08-13,11203.0
2002-08-14,11201.0
2002-08-15,11395.0
2002-08-16,11992.0
2002-08-17,12417.0
2002-08-18,12487.0
2002-08-19,11990.0
2002-08-20,12018.0
2002-08-21,11342.0
2002-08-22,11251.0
2002-08-23,10785.0
2002-08-24,10574.0
2002-08-25,10770.0
2002-08-26,10588.0
2002-08-27,10895.0
2002-08-28,11193.0
2002-08-29,11070.0
2002-08-30,10661.0
2002-08-31,11310.0
2002-09-01,11825.0
2002-09-02,12270.0
2002-09-03,11849.0
2002-09-04,12139.0
2002-09-05,12009.0
2002-09-06,11696.0
2002-09-07,12153.0
2002-09-08,12268.0
2002-09-09,11883.0
2002-09-10,12147.0
2002-09-11,12350.0
2002-09-12,12109.0
2002-09-13,11928.0
2002-09-14,12771.0
2002-09-15,13043.0
2002-09-16,12978.0
2002-09-17,13193.0
2002-09-18,13191.0
2002-09-19,12804.0
2002-09-20,13022.0
2002-09-21,13602.0
2002-09-22,13691.0
2002-09-23,13918.0
2002-09-24,12076.0
2002-09-25,13721.0
2002-09-26,14001.0
2002-09-27,13548.0
2002-09-28,13064.0
2002-09-29,12730.0
2002-09-30,12944.0
2002-10-01,13128.0
2002-10-02,13006.0
2002-10-03,12400.0
2002-10-04,12757.0
2002-10-05,13237.0
2002-10-06,13370.0
2002-10-07,12825.0
2002-10-08,12783.0
2002-10-09,12861.0
2002-10-10,12719.0
2002-10-11,12904.0
2002-10-12,12965.0
2002-10-13,12282.0
2002-10-14,12511.0
2002-10-15,12488.0
2002-10-16,12736.0
2002-10-17,12948.0
2002-10-18,13012.0
2002-10-19,13126.0
2002-10-20,13128.0
2002-10-21,12537.0
2002-10-22,12454.0
2002-10-23,11567.0
2002-10-24,12030.0
2002-10-25,12357.0
2002-10-26,12507.0
2002-10-27,12088.0
2002-10-28,12373.0
2002-10-29,11994.0
2002-10-30,11306.0
2002-10-31,11095.0
2002-11-01,11599.0
2002-11-02,11666.0
2002-11-03,11283.0
2002-11-04,11407.0
2002-11-05,11709.0
2002-11-06,11555.0
2002-11-07,6224.0
2002-11-08,11896.0
2002-11-09,11924.0
2002-11-10,12391.0
2002-11-11,12448.0
2002-11-12,12569.0
2002-11-13,12262.0
2002-11-14,12504.0
2002-11-15,12161.0
2002-11-16,12175.0
2002-11-17,12303.0
2002-11-18,12313.0
2002-11-19,12352.0
2002-11-20,12272.0
2002-11-21,12532.0
2002-11-22,12385.0
2002-11-23,12284.0
2002-11-24,12037.0
2002-11-25,11134.0
2002-11-26,11395.0
2002-11-27,11849.0
2002-11-28,12688.0
2002-11-29,12662.0
2002-11-30,12644.0
2002-12-01,15119.0
2002-12-02,14952.0
2002-12-03,14919.0
2002-12-04,14585.0
2002-12-05,14353.0
2002-12-06,14690.0
2002-12-07,14952.0
2002-12-08,14927.0
2002-12-09,14504.0
2002-12-10,14127.0
2002-12-11,14245.0
2002-12-12,13919.0
2002-12-13,13778.0
2002-12-14,13869.0
2002-12-15,14005.0
2002-12-16,13089.0
2002-12-17,12822.0
2002-12-18,12640.0
2002-12-19,13489.0
2002-12-20,14006.0
2002-12-21,14480.0
2002-12-22,13870.0
2002-12-23,14631.0
2002-12-24,13994.0
2002-12-25,12908.0
2002-12-26,14126.0
2002-12-27,13902.0
2002-12-28,13505.0
2002-12-29,13415.0
2002-12-30,13295.0
2002-12-31,13197.0
2003-01-01,13076.0
2003-01-02,12133.0
2003-01-03,12555.0
2003-01-04,13394.0
2003-01-05,14038.0
2003-01-06,14917.0
2003-01-07,15006.0
2003-01-08,15152.0
2003-01-09,15066.0
2003-01-10,14986.0
2003-01-11,14603.0
2003-01-12,14687.0
2003-01-13,13904.0
2003-01-14,14195.0
2003-01-15,13854.0
2003-01-16,14034.0
2003-01-17,13855.0
2003-01-18,14305.0
2003-01-19,14388.0
2003-01-20,14370.0
2003-01-21,14794.0
2003-01-22,15882.0
2003-01-23,15522.0
2003-01-24,14982.249999999996
2003-01-25,14908.519999999997
