date,gas
1/1/2001,0
1/2/2001,0
1/3/2001,0
1/4/2001,0
1/5/2001,0
1/6/2001,97.21582
1/7/2001,0
1/8/2001,0
1/9/2001,0
1/10/2001,0
1/11/2001,0
1/12/2001,0
1/13/2001,0
1/14/2001,0
1/15/2001,0
1/16/2001,0
1/17/2001,0
1/18/2001,2.30E-04
1/19/2001,0
1/20/2001,0
1/21/2001,0
1/22/2001,0
1/23/2001,0
1/24/2001,0
1/25/2001,0
1/26/2001,0
1/27/2001,0
1/28/2001,0
1/29/2001,0
1/30/2001,0
1/31/2001,0
2/1/2001,0
2/2/2001,0
2/3/2001,0
2/4/2001,0
2/5/2001,0
2/6/2001,0
2/7/2001,0
2/8/2001,0
2/9/2001,0
2/10/2001,0
2/11/2001,0
2/12/2001,0
2/13/2001,0
2/14/2001,0
2/15/2001,0
2/16/2001,0
2/17/2001,0
2/18/2001,0
2/19/2001,0
2/20/2001,0
2/21/2001,0
2/22/2001,0
2/23/2001,0
2/24/2001,0
2/25/2001,0
2/26/2001,0
2/27/2001,0
2/28/2001,0
3/1/2001,0
3/2/2001,0
3/3/2001,0
3/4/2001,0
3/5/2001,0
3/6/2001,0
3/7/2001,0
3/8/2001,0
3/9/2001,0
3/10/2001,0
3/11/2001,0
3/12/2001,0
3/13/2001,0
3/14/2001,0
3/15/2001,0
3/16/2001,0
3/17/2001,0
3/18/2001,0
3/19/2001,0
3/20/2001,0
3/21/2001,0
3/22/2001,0
3/23/2001,0
3/24/2001,0
3/25/2001,0
3/26/2001,0
3/27/2001,0
3/28/2001,0
3/29/2001,0
3/30/2001,0
3/31/2001,0
4/1/2001,0
4/2/2001,0
4/3/2001,0
4/4/2001,0
4/5/2001,0
4/6/2001,0
4/7/2001,0
4/8/2001,0
4/9/2001,0
4/10/2001,0
4/11/2001,0
4/12/2001,0
4/13/2001,0
4/14/2001,0
4/15/2001,0
4/16/2001,0
4/17/2001,0
4/18/2001,0
4/19/2001,0
4/20/2001,18
4/21/2001,53
4/22/2001,54
4/23/2001,24
4/24/2001,2
4/25/2001,2
4/26/2001,25
4/27/2001,39
4/28/2001,27
4/29/2001,23
4/30/2001,23
5/1/2001,23
5/2/2001,21
5/3/2001,16
5/4/2001,16
5/5/2001,19
5/6/2001,18
5/7/2001,17
5/8/2001,17
5/9/2001,21
5/10/2001,21
5/11/2001,21
5/12/2001,21
5/13/2001,21
5/14/2001,21
5/15/2001,21
5/16/2001,18
5/17/2001,20
5/18/2001,18
5/19/2001,19
5/20/2001,19
5/21/2001,11
5/22/2001,16
5/23/2001,18
5/24/2001,17
5/25/2001,17
5/26/2001,19
5/27/2001,20
5/28/2001,20
5/29/2001,21
5/30/2001,19
5/31/2001,20
6/1/2001,21
6/2/2001,20
6/3/2001,19
6/4/2001,0
6/5/2001,4
6/6/2001,9
6/7/2001,11
6/8/2001,55
6/9/2001,10
6/10/2001,11
6/11/2001,18
6/12/2001,21
6/13/2001,27
6/14/2001,0
6/15/2001,50
6/16/2001,63
6/17/2001,0
6/18/2001,126
6/19/2001,88
6/20/2001,0
6/21/2001,36
6/22/2001,45
6/23/2001,102
6/24/2001,104
6/25/2001,78
6/26/2001,76
6/27/2001,47
6/28/2001,104
6/29/2001,75
6/30/2001,106
7/1/2001,103
7/2/2001,76
7/3/2001,60
7/4/2001,49
7/5/2001,37
7/6/2001,49
7/7/2001,42
7/8/2001,55
7/9/2001,54
7/10/2001,50
7/11/2001,37
7/12/2001,0
7/13/2001,0
7/14/2001,0
7/15/2001,48
7/16/2001,28
7/17/2001,29
7/18/2001,32
7/19/2001,62
7/20/2001,187
7/21/2001,375
7/22/2001,251
7/23/2001,460
7/24/2001,492
7/25/2001,387
7/26/2001,486
7/27/2001,546
7/28/2001,630
7/29/2001,751
7/30/2001,673
7/31/2001,490
8/1/2001,1118
8/2/2001,949
8/3/2001,927
8/4/2001,881
8/5/2001,857
8/6/2001,1164
8/7/2001,926
8/8/2001,960
8/9/2001,997
8/10/2001,882
8/11/2001,839
8/12/2001,1098
8/13/2001,1375
8/14/2001,1001
8/15/2001,963
8/16/2001,667
8/17/2001,1066
8/18/2001,1064
8/19/2001,975
8/20/2001,1245
8/21/2001,1858
8/22/2001,1505
8/23/2001,2094
8/24/2001,1320
8/25/2001,1252
8/26/2001,1200
8/27/2001,1270
8/28/2001,1188
8/29/2001,1422
8/30/2001,1666
8/31/2001,1565
9/1/2001,1842
9/2/2001,1851
9/3/2001,1859
9/4/2001,1417
9/5/2001,1659
9/6/2001,1789
9/7/2001,1815
9/8/2001,1807
9/9/2001,1789
9/10/2001,1773
9/11/2001,289
9/12/2001,119
9/13/2001,37
9/14/2001,1509
9/15/2001,1246
9/16/2001,1207
9/17/2001,1065
9/18/2001,1128
9/19/2001,1339
9/20/2001,1481
9/21/2001,1609
9/22/2001,1695
9/23/2001,1720
9/24/2001,1702
9/25/2001,1646
9/26/2001,1569
9/27/2001,1571
9/28/2001,1554
9/29/2001,1525
9/30/2001,1511
10/1/2001,1528
10/2/2001,1558
10/3/2001,1570
10/4/2001,1427
10/5/2001,1293
10/6/2001,1254
10/7/2001,1605
10/8/2001,1429
10/9/2001,1505
10/10/2001,1682
10/11/2001,1953
10/12/2001,1951
10/13/2001,1992
10/14/2001,1978
10/15/2001,1967
10/16/2001,1934
10/17/2001,1925
10/18/2001,1883
10/19/2001,1860
10/20/2001,1801
10/21/2001,1781
10/22/2001,1948
10/23/2001,1971
10/24/2001,1911
10/25/2001,1896
10/26/2001,2144
10/27/2001,2235
10/28/2001,2234
10/29/2001,2198
10/30/2001,2184
10/31/2001,1893
11/1/2001,2110
11/2/2001,2073
11/3/2001,2145
11/4/2001,2225
11/5/2001,2052
11/6/2001,2094
11/7/2001,2123
11/8/2001,2107
11/9/2001,2122
11/10/2001,2185
11/11/2001,2217
11/12/2001,2150
11/13/2001,1480
11/14/2001,1820
11/15/2001,1896
11/16/2001,1863
11/17/2001,1878
11/18/2001,1981
11/19/2001,2033
11/20/2001,2122
11/21/2001,2203
11/22/2001,2262
11/23/2001,2165
11/24/2001,1859
11/25/2001,1829
11/26/2001,1802
11/27/2001,1647
11/28/2001,1744
11/29/2001,2015
11/30/2001,1772
12/1/2001,1916
12/2/2001,1676
12/3/2001,1931
12/4/2001,2083
12/5/2001,2183
12/6/2001,2405
12/7/2001,1550
12/8/2001,2087
12/9/2001,2027
12/10/2001,2320
12/11/2001,2329
12/12/2001,2633
12/13/2001,2695
12/14/2001,2470
12/15/2001,2442
12/16/2001,2623
12/17/2001,2540
12/18/2001,2576
12/19/2001,2534
12/20/2001,1726
12/21/2001,2453
12/22/2001,2623
12/23/2001,2597
12/24/2001,2444
12/25/2001,2469
12/26/2001,2406
12/27/2001,2489
12/28/2001,2437
12/29/2001,2429
12/30/2001,2309
12/31/2001,1997
1/1/2002,2179
1/2/2002,2111
1/3/2002,2068
1/4/2002,2128
1/5/2002,2081
1/6/2002,2147
1/7/2002,2173
1/8/2002,2246
1/9/2002,2342
1/10/2002,2326
1/11/2002,2332
1/12/2002,2294
1/13/2002,2348
1/14/2002,2256
1/15/2002,2335
1/16/2002,2286
1/17/2002,2330
1/18/2002,2556
1/19/2002,2594
1/20/2002,2534
1/21/2002,2423
1/22/2002,2382
1/23/2002,2375
1/24/2002,2371
1/25/2002,2350
1/26/2002,2332
1/27/2002,2311
1/28/2002,2305
1/29/2002,2351
1/30/2002,2353
1/31/2002,2515
2/1/2002,2435
2/2/2002,2430
2/3/2002,2400
2/4/2002,2253
2/5/2002,2208
2/6/2002,2188
2/7/2002,2163
2/8/2002,2086
2/9/2002,2111
2/10/2002,2301
2/11/2002,2431
2/12/2002,2491
2/13/2002,2596
2/14/2002,2670
2/15/2002,2749
2/16/2002,2801
2/17/2002,2965
2/18/2002,3365
2/19/2002,3566
2/20/2002,3583
2/21/2002,3509
2/22/2002,3630
2/23/2002,3771
2/24/2002,3787
2/25/2002,3718
2/26/2002,3651
2/27/2002,3667
2/28/2002,3514
3/1/2002,3631
3/2/2002,3667
3/3/2002,3533
3/4/2002,3645
3/5/2002,3359
3/6/2002,3719
3/7/2002,3786
3/8/2002,3584
